PFF TAG (ICON DB),ICON TAG,PFF Name (Game Grades)
AIR FORCE,AFA,Air Force
AKRON,AKR,Akron
ALABAMA,ALA,Alabama
Appalachian State,APP,Appalachian State
ARIZONA,ARIZ,Arizona
ARIZONA STATE,ASU,Arizona State
ARKANSAS,ARK,Arkansas
Arkansas State,ARST,Arkansas State
ARMY,ARMY,Army
AUBURN,AUB,Auburn
BALL STATE,BALL,Ball State
BAYLOR,BAY,Baylor
BOISE STATE,BSU,Boise State
BOSTON COLLEGE,BC,Boston College
BOWLING GREEN,BGSU,Bowling Green
BUFFALO,BUFF,Buffalo
BYU,BYU,BYU
CALIFORNIA,CAL,California
CENTRAL MICHIGAN,CMU,Central Michigan
CHARLOTTE,CHAR,Charlotte
CINCINNATI,CIN,Cincinnati
CLEMSON,CLEM,Clemson
COASTAL CAROLINA,CCU,Coastal Carolina
COLORADO,COLO,Colorado
COLORADO STATE,CSU,Colorado State
Connecticut,CONN,Connecticut
DUKE,DUKE,Duke
EAST CAROLINA,ECU,East Carolina
EAST MICHIGAN,EMU,Eastern Michigan
FLORIDA,FLA,Florida
FLORIDA ATLANTIC,FAU,Florida Atlantic
FLORIDA INTERNATIONAL,FIU,Florida International
FLORIDA STATE,FSU,Florida State
FRESNO STATE,FRES,Fresno State
GEORGIA,UGA,Georgia
GEORGIA SOUTHERN,GASO,Georgia Southern
GEORGIA STATE,GSU,Georgia State
GEORGIA TECH,GT,Georgia Tech
HAWAII,HAW,Hawaii
HOUSTON,HOU,Houston
ILLINOIS,ILL,Illinois
INDIANA,IU,Indiana
IOWA,IOWA,Iowa
IOWA STATE,ISU,Iowa State
JACKSON STATE,JSU,Jacksonville State
JAMES MADISON,JMU,James Madison
KANSAS,KU,Kansas
KANSAS STATE,KSU,Kansas State
KENT STATE,KENT,Kent State
KENTUCKY,UK,Kentucky
LIBERTY,LIB,Liberty
LOUISIANA,ULL,Louisiana
Louisiana Tech,LT,Louisiana Tech
UL MONROE,ULM,Louisiana-Monroe
LOUISVILLE,LOU,Louisville
LSU,LSU,LSU
MARSHALL,MRSH,Marshall
MARYLAND,MD,Maryland
UMASS,MASS,Massachusetts
MEMPHIS,MEM,Memphis
MIAMI,MIA,Miami (FL)
MIAMI (OH),M-OH,Miami (OH)
MICHIGAN,MICH,Michigan
MICHIGAN STATE,MSU,Michigan State
Middle Tennessee,MTU,Middle Tennessee
MINNESOTA,MINN,Minnesota
OLE MISS,MISS,Mississippi
Mississippi State,MSST,Mississippi State
MISSOURI,MIZZ,Missouri
NAVY,NAVY,Navy
NEBRASKA,NEB,Nebraska
NEVADA,NEV,Nevada
NEW MEXICO,UNM,New Mexico
NEW MEXICO STATE,NMSU,New Mexico State
NORTH CAROLINA,UNC,North Carolina
NC STATE,NCST,North Carolina State
NORTH TEXAS,UNT,North Texas
NORTH ILLINOIS,NIU,Northern Illinois
Northwestern,NW,Northwestern
NOTRE DAME,ND,Notre Dame
OHIO,OHIO,Ohio
OHIO STATE,OSU,Ohio State
OKLAHOMA,OKLA,Oklahoma
OKLAHOMA STATE,OKST,Oklahoma State
OLD DOMINION,ODU,Old Dominion
OREGON,ORE,Oregon
OREGON STATE,ORST,Oregon State
PENN STATE,PSU,Penn State
PITTSBURGH,PITT,Pittsburgh
PURDUE,PUR,Purdue
RICE,RICE,Rice
RUTGERS,RUTG,Rutgers
SAM HOUSTON STATE,SHSU,Sam Houston State
SAN DIEGO STATE,SDSU,San Diego State
San JOSE State,SJSU,San Jose State
SMU,SMU,SMU
SOUTH ALABAMA,USA,South Alabama
SOUTH CAROLINA,SOCAR,South Carolina
Southern Mississippi,USM,Southern Miss
STANFORD,STAN,Stanford
SYRACUSE,SYR,Syracuse
TCU,TCU,TCU
TEMPLE,TEM,Temple
TENNESSEE,TENN,Tennessee
TEXAS,TEX,Texas
TEXAS A&M,TAM,Texas A&M
TEXAS STATE,TXST,Texas State
TEXAS TECH,TTU,Texas Tech
TOLEDO,TOL,Toledo
TROY,TROY,Troy
TULANE,TULN,Tulane
TULSA,TLSA,Tulsa
UAB,UAB,UAB
UCF,UCF,UCF
UCLA,UCLA,UCLA
UNLV,UNLV,UNLV
USC,USC,USC
South Florida,USF,USF
UTAH,UTAH,Utah
UTAH STATE,USU,Utah State
UTEP,UTEP,UTEP
UTSA,UTSA,UTSA
VANDERBILT,VAN,Vanderbilt
VIRGINIA,UVA,Virginia
Virginia Tech,VT,Virginia Tech
WAKE FOREST,WAKE,Wake Forest
WASHINGTON,WASH,Washington
WASHINGTON STATE,WSU,Washington State
WEST VIRGINIA,WVU,West Virginia
WESTERN KENTUCKY,WKU,Western Kentucky
WESTERN MICHIGAN,WMU,Western Michigan
WISCONSIN,WIS,Wisconsin
WYOMING,WYO,Wyoming
KENNESAW STATE,KES,Kennesaw State
